Region,Text-to-text pricing,,model,input_price,output_price,Max RPM,Max TPM,Filter for RPM Table (Workload-1),Filter for RPM Table (Workload-2),Filter for RPM Table (Workload-3),Filter for TPM Table (Workload-1),Filter for TPM Table (Workload-2),Filter for TPM Table (Workload-3),,
Mumbai,Claude 3 Haiku,Mumbai|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
Mumbai,Claude 3 Sonnet,Mumbai|Claude 3 Sonnet,,3.000000,15.000000,15, 500 ,,,,,,,,
Mumbai,Titan Text Express,Mumbai|Titan Text Express,,1.000000,1.900000,0.6, 400 ,,,,,,,,
Mumbai,Titan Text Lite,Mumbai|Titan Text Lite,,0.400000,0.500000,0.2, 800 ,,,,,,,,
Mumbai,Llama 3 8B Instruct,Mumbai|Llama 3 8B Instruct,,0.480000,0.720000,0.6, 800 ,,,,,,,,
Mumbai,Llama 3 70B Instruct,Mumbai|Llama 3 70B Instruct,,3.180000,4.200000,3.5, 800 ,,,,,,,,
Mumbai,Mistral 7B Instruct,Mumbai|Mistral 7B Instruct,,0.180000,0.240000,0.2, 800 ,,,,,,,,
Mumbai,Mixtral 8X7B Instruct,Mumbai|Mixtral 8X7B Instruct,,0.540000,0.840000,0.7, 400 ,,,,,,,,
Mumbai,Mistral Large,Mumbai|Mistral Large,,9.600000,28.800000,12, 400 ,,,,,,,,
Seoul,Claude 3 Haiku,Seoul|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
Seoul,Claude 3.5 Sonnet,Seoul|Claude 3.5 Sonnet,,3.000000,15.000000,15, 50 ,,,,,,,,
Dublin,Claude 3 Haiku,Dublin|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
Dublin,Claude 3 Sonnet,Dublin|Claude 3 Sonnet,,3.000000,15.000000,15, 100 ,,,,,,,,
Dublin,Claude 3.5 Sonnet,Dublin|Claude 3.5 Sonnet,,3.000000,15.000000,15, 20 ,,,,,,,CRIS-only,
Dublin,Titan Text Express,Dublin|Titan Text Express,,1.000000,1.900000,0.6, 400 ,,,,,,,,
Dublin,Titan Text Lite,Dublin|Titan Text Lite,,0.400000,0.500000,0.2, 800 ,,,,,,,,
Dublin,Llama 3 8B Instruct,Dublin|Llama 3 8B Instruct,,0.480000,0.720000,0.6, 800 ,,,,,,,,
Dublin,Llama 3 70B Instruct,Dublin|Llama 3 70B Instruct,,3.180000,4.200000,3.5, 800 ,,,,,,,,
Dublin,Mistral 7B Instruct,Dublin|Mistral 7B Instruct,,0.180000,0.240000,0.2, 800 ,,,,,,,,
Dublin,Mixtral 8X7B Instruct,Dublin|Mixtral 8X7B Instruct,,0.540000,0.840000,0.7, 400 ,,,,,,,,
Dublin,Mistral Large,Dublin|Mistral Large,,9.600000,28.800000,12, 400 ,,,,,,,,
London,Claude 3 Haiku,London|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
London,Claude 3 Sonnet,London|Claude 3 Sonnet,,3.000000,15.000000,15, 500 ,,,,,,,,
London,Titan Text Express,London|Titan Text Express,,1.000000,1.900000,0.6, 400 ,,,,,,,,
London,Titan Text Lite,London|Titan Text Lite,,0.400000,0.500000,0.2, 800 ,,,,,,,,
London,Mistral 7B Instruct,London|Mistral 7B Instruct,,0.180000,0.240000,0.2, 800 ,,,,,,,,
London,Mixtral 8X7B Instruct,London|Mixtral 8X7B Instruct,,0.540000,0.840000,0.7, 400 ,,,,,,,,
London,Mistral Large,London|Mistral Large,,9.600000,28.800000,12, 400 ,,,,,,,,
Paris,Claude 3 Haiku,Paris|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
Paris,Claude 3 Sonnet,Paris|Claude 3 Sonnet,,3.000000,15.000000,15, 100 ,,,,,,,,
Paris,Claude 3.5 Sonnet,Paris|Claude 3.5 Sonnet,,3.000000,15.000000,15, 20 ,,,,,,,CRIS-only,
Paris,Titan Text Express,Paris|Titan Text Express,,0.250000,0.788000,0.6, 400 ,,,,,,,,
Paris,Titan Text Lite,Paris|Titan Text Lite,,0.200000,0.250000,0.2, 800 ,,,,,,,,
Paris,Mistral 7B Instruct,Paris|Mistral 7B Instruct,,0.200000,0.260000,0.2, 800 ,,,,,,,,
Paris,Mixtral 8X7B Instruct,Paris|Mixtral 8X7B Instruct,,0.590000,0.910000,0.7, 400 ,,,,,,,,
Paris,Mistral Large,Paris|Mistral Large,,10.400000,31.200000,12, 400 ,,,,,,,,
Frankfurt,Claude v2.x,Frankfurt|Claude v2.x,,8.000000,24.000000,24, 500 ,,,,,,,,
Frankfurt,Claude Instant v1.x,Frankfurt|Claude Instant v1.x,,0.800000,2.400000,2.4," 1,000 ",,,,,,,,
Frankfurt,Claude 3 Haiku,Frankfurt|Claude 3 Haiku,,0.250000,1.250000,1.25," 1,000 ",,,,,,,,
Frankfurt,Claude 3 Sonnet,Frankfurt|Claude 3 Sonnet,,3.000000,15.000000,100," 200,000 ",,,,,,,,
Frankfurt,Claude 3.5 Sonnet,Frankfurt|Claude 3.5 Sonnet,,3.000000,15.000000,20," 200,000 ",,,,,,,,
Frankfurt,Titan Text Express,Frankfurt|Titan Text Express,,0.300000,0.863000,0.6, 400 ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Embedding Models,,,,,,,,,,,,,,,
Region,Model,,,Price per million Input tokens,Price per Image (Thousands),Max RPM,Max TPM,Filter  (Workload-1),Filter  (Workload-2),Filter  (Workload-3),"Filter (""Use Case - RAG"")",,,,
N.Virginia,Titan Embeddings - Text,N.Virginia|Titan Embeddings - Text,,0.100000,," 2,000 "," 300,000 ",#REF!,#REF!,#REF!,#REF!,,,,
N.Virginia,Titan Embeddings V2 - Text,N.Virginia|Titan Embeddings V2 - Text,,0.020000,," 2,000 "," 300,000 ",,,,,,,,
N.Virginia,Titan Embeddings - Multimodal,N.Virginia|Titan Embeddings - Multimodal,,0.800000,0.060000," 2,000 "," 300,000 ",,,,,,,,
N.Virginia,Cohere Embed English,N.Virginia|Cohere Embed English,,0.100000,," 2,000 "," 300,000 ",,,,,,,,
N.Virginia,Cohere Embed Multilingual,N.Virginia|Cohere Embed Multilingual,,0.100000,," 2,000 "," 300,000 ",,,,,,,,
Oregon,Titan Embeddings - Text,Oregon|Titan Embeddings - Text,,0.100000,, -   ," 2,000 ",,,,,,,,
Oregon,Titan Embeddings V2 - Text,Oregon|Titan Embeddings V2 - Text,,0.020000,, -   ," 2,000 ",,,,,,,,
Oregon,Titan Embeddings - Multimodal,Oregon|Titan Embeddings - Multimodal,,0.800000,0.060000, 0 ," 2,000 ",,,,,,,,
Oregon,Cohere Embed English,Oregon|Cohere Embed English,,0.100000,, -   ," 2,000 ",,,,,,,,
Oregon,Cohere Embed Multilingual,Oregon|Cohere Embed Multilingual,,0.100000,, -   ," 2,000 ",,,,,,,,
Canada Central,Titan Embeddings - Multimodal,Canada Central|Titan Embeddings - Multimodal,,1.000000,0.080000, 0 ," 2,000 ",,,,,,,,
Canada Central,Titan Embeddings V2 - Text,Canada Central|Titan Embeddings V2 - Text,,0.020000,," 2,000 "," 300,000 ",,,,,,,,
Sao Paulo,Titan Embeddings - Multimodal,Sao Paulo|Titan Embeddings - Multimodal,,1.000000,0.080000, 0 ," 2,000 ",,,,,,,,
Sao Paulo,Titan Embeddings V2 - Text,Sao Paulo|Titan Embeddings V2 - Text,,0.020000,," 2,000 "," 300,000 ",,,,,,,,
Singapore,Cohere Embed English,Singapore|Cohere Embed English,,0.100000,, -   ," 2,000 ",,,,,,,,
Singapore,Cohere Embed Multilingual,Singapore|Cohere Embed Multilingual,,0.100000,, -   ," 2,000 ",,,,,,,,
Tokyo,Titan Embeddings - Text,Tokyo|Titan Embeddings - Text,,0.200000,, -   ," 2,000 ",,,,,,,,
Tokyo,Cohere Embed English,Tokyo|Cohere Embed English,,0.100000,, -   ," 2,000 ",,,,,,,,
Tokyo,Cohere Embed Multilingual,Tokyo|Cohere Embed Multilingual,,0.100000,, -   ," 2,000 ",,,,,,,,
Sydney,Titan Embeddings - Multimodal,Sydney|Titan Embeddings - Multimodal,,1.000000,0.080000, 0 ," 2,000 ",,,,,,,,
Sydney,Cohere Embed English,Sydney|Cohere Embed English,,0.100000,, -   ," 2,000 ",,,,,,,,
Sydney,Cohere Embed Multilingual,Sydney|Cohere Embed Multilingual,,0.100000,, -   ," 2,000 ",,,,,,,,
Mumbai,Titan Embeddings - Multimodal,Mumbai|Titan Embeddings - Multimodal,,1.000000,0.080000, 0 ," 2,000 ",,,,,,,,
Mumbai,Cohere Embed English,Mumbai|Cohere Embed English,,0.100000,, -   ," 2,000 ",,,,,,,,
Mumbai,Cohere Embed Multilingual,Mumbai|Cohere Embed Multilingual,,0.100000,, -   ," 2,000 ",,,,,,,,
Seoul,Titan Embeddings V2 - Text,Seoul|Titan Embeddings V2 - Text,,0.020000,, -   ," 2,000 ",,,,,,,,
Dublin,Titan Embeddings - Multimodal,Dublin|Titan Embeddings - Multimodal,,1.000000,0.080000, 0 ," 2,000 ",,,,,,,,
Dublin,Cohere Embed English,Dublin|Cohere Embed English,,0.100000,, -   ," 2,000 ",,,,,,,,
Dublin,Cohere Embed Multilingual,Dublin|Cohere Embed Multilingual,,0.100000,, -   ," 2,000 ",,,,,,,,
London,Titan Embeddings - Multimodal,London|Titan Embeddings - Multimodal,,1.000000,0.080000, 0 ," 2,000 ",,,,,,,,
London,Titan Embeddings V2 - Text,London|Titan Embeddings V2 - Text,,0.020000,, -   ," 2,000 ",,,,,,,,
London,Cohere Embed English,London|Cohere Embed English,,0.100000,, -   ," 2,000 ",,,,,,,,
